"BehaviorSpace results (NetLogo 6.3.0)"
"nl-poseidon.nlogo"
"exploration-radius"
"09/19/2023 19:48:49:976 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","min-mpa-x","exploration-probability","number-of-fishers","hourly-costs","min-mpa-y","diffusion-rate","growth-rate","price-of-fish","max-mpa-x","carrying-capacity","max-mpa-y","catchability","speed","exploration-radius","[step]","mean [ bank-balance ] of fishers"
"152","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4","8760","733459.9385939877"
"153","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4","8760","735420.9441744473"
"154","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4","8760","694000.0676825884"
"155","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4","8760","710056.1412393388"
"156","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.1","8760","715171.0205320083"
"157","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.1","8760","739396.3860567122"
"159","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.1","8760","734881.6492436436"
"158","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.1","8760","737843.0776719577"
"160","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.1","8760","711992.6832633083"
"161","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.2","8760","737815.7495356656"
"163","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.2","8760","699419.1835392693"
"164","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.2","8760","737046.7828343658"
"162","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.2","8760","692810.5815140571"
"165","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.2","8760","659648.7186651792"
"166","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.3","8760","709577.6842974446"
"167","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.3","8760","726048.1254534839"
"168","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.3","8760","734298.796947556"
"169","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.3","8760","701667.4670277048"
"170","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.3","8760","763608.7162782113"
"171","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.4","8760","759431.7865367873"
"172","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.4","8760","742147.9651911564"
"173","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.4","8760","678764.2941906378"
"174","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.4","8760","747776.6395687631"
"175","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.4","8760","740362.7138581331"
"176","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.5","8760","748816.5975253223"
"177","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.5","8760","739763.1491415164"
"178","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.5","8760","709119.3369304864"
"179","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.5","8760","777910.9625409609"
"180","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.5","8760","740436.8868015126"
"181","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.6","8760","690258.0673557699"
"182","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.6","8760","733601.7400036347"
"183","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.6","8760","774722.967771004"
"184","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.6","8760","749289.2208838575"
"185","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.6","8760","729803.1214030534"
"186","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.7","8760","757283.0848651676"
"187","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.7","8760","709803.466301741"
"188","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.7","8760","735223.9587133834"
"189","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.7","8760","732717.2942170955"
"190","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.7","8760","780051.0342872952"
"191","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.8","8760","749906.808194073"
"192","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.8","8760","745036.6253530936"
"193","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.8","8760","749202.7811454323"
"194","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.8","8760","737027.8648206292"
"195","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.8","8760","705539.4691887023"
"196","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.9","8760","730656.6743270361"
"197","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.9","8760","737470.6583898886"
"198","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.9","8760","740203.7118989672"
"199","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.9","8760","789990.0745267132"
"200","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4.9","8760","708014.5060983278"
"201","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5","8760","745120.9640159501"
"202","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5","8760","717513.2083599198"
"203","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5","8760","770684.8030723588"
"204","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5","8760","721816.5208904877"
"205","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5","8760","742495.391274084"
"207","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5.1","8760","720911.4808844513"
"206","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5.1","8760","743943.8606474826"
"208","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5.1","8760","725823.5092932546"
"209","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5.1","8760","705268.1689377523"
"211","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5.2","8760","745872.1474084306"
"210","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","5.1","8760","774006.382209171"
